Key,Description,Standard,EL,AR,FR
SAY.Flowchart.418.Captain Crabs,,"We will sap their life force, General! We will cause intense itchiness, skin irritation and... And…","Θα εξαντλήσουμε τη ζωτική τους δύναμη, Στρατηγέ! Θα προκαλέσουμε έντονη φαγούρα, ερεθισμό του δέρματος και... Και...","سوف نستنزف قوتهم الحياتية، جنرال! سوف نتسبب في حكة شديدة وتهيج في الجلد و ... و ...","Nous allons saper leur force vitale, Général ! Nous allons provoquer des démangeaisons intenses, une irritation de la peau et... et..."
MENU.Flowchart.343,,Blue specks on the skin,Μπλε στίγματα στο δέρμα,بقع زرقاء على الجلد,Des taches bleues sur la peau 
MENU.Flowchart.344,,Mild fever,Ήπιο πυρετό,حمى خفيفة,Une légère fièvre
MENU.Flowchart.345,,Hair loss,Απώλεια Μαλλιών,تساقط الشعر,Perte de cheveux
MENU.Flowchart.346,,Pain during urination,Πόνο κατά τη διάρκεια της ούρησης,ألم أثناء التبول,Douleur pendant la miction
SAY.Flowchart.354.,,"That's not quite right, you're ruining the play. Give it another go.","Αυτό δεν είναι σωστό, καταστρέφεις την παράσταση. Κάνε άλλη μια προσπάθεια.","هذا ليس صحيحا تماما، أنت تفسد المسرحية. أعد مرة أخرى.","Ce n’est pas tout à fait juste, vous ruinez la pièce. Essayez encore."
SAY.Flowchart.362.,,"This is a live play, could you be a bit faster?","Αυτή είναι μία ζωντανή παράσταση, θα μπορούσατε να είστε λίγο πιο γρήγοροι;","هذه مسرحية حية، هل يمكن أن تكون أسرع قليلا؟","C’est une pièce en direct, pourriez-vous être un peu plus rapide ?"
SAY.Flowchart.420.Major Herpes,,"Sir, our usual guerrilla tactics have failed. We were once strong enough to cause chaos from within.","Στρατηγέ, οι συνήθεις αντάρτικες τεχνικές μας απέτυχαν. Κάποτε ήμασταν αρκετά δυνατοί για να προκαλέσουμε χάος εκ των έσω.","سيدي ، تكتيكات حرب العصابات المعتادة لدينا قد فشلت. كنا في يوم من الأيام أقوياء بما يكفي لإحداث الفوضى من الداخل.","Monsieur, nos tactiques de guérilla habituelles ont échoué. Nous étions autrefois assez forts pour provoquer le chaos de l'intérieur. "
SAY.Flowchart.470.Major Herpes,,"In the past, our hidden forces caused temporary eruptions of small blisters in the Vaginal Valley, Penile Peninsula and Anal Cove, and... and we also caused…","Στο παρελθόν, οι κρυμμένες δυνάμεις μας προκάλεσαν προσωρινές εκρήξεις μικρών φουσκάλων στην Κολπική Κοιλάδα, στην Πεϊκή Χερσόνησο και στον Πρωκτικό Κόλπο, και επίσης προκαλέσαμε...","في الماضي، تسببت قواتنا الخفية في ثورات مؤقتة من بثور صغيرة في الوادي المهبلي، شبه جزيرة القضيب والخليج الشرجي و ... وتسببنا أيضا في ... "," Dans le passé, nos forces cachées ont provoqué des éruptions temporaires de petites cloques dans la vallée vaginale, la péninsule pénienne et l'anus, et... et nous avons également causé... "
MENU.Flowchart.366,,Diarrhoea,Διάρροια ,إسهال,Diarrhée
MENU.Flowchart.367,,Abnormal seminal discharge,Ανώμαλη εκροή σπέρματος,إفرازات منوية غير طبيعية,Un écoulement séminal anormal
MENU.Flowchart.368,,Mild fever,Ήπιο πυρετό,حمى خفيفة,Fièvre légère
MENU.Flowchart.369,,Pain during urination,Πόνο κατά τη διάρκεια της ούρησης,ألم أثناء التبول,Douleur pendant la miction 
SAY.Flowchart.378.,,"That's not quite right, you're ruining the play. Give it another go.","Αυτό δεν είναι σωστό, καταστρέφεις την παράσταση. Κάνε άλλη μια προσπάθεια.","هذا ليس صحيحا تماما، أنت تفسد المسرحية. أعد مرة أخرى.","Ce n’est pas tout à fait juste, vous ruinez la pièce. Essayez encore."
SAY.Flowchart.386.,,"This is a live play, could you be a bit faster?","Αυτή είναι μία ζωντανή παράσταση, θα μπορούσατε να είστε λίγο πιο γρήγοροι;","هذه مسرحية حية، هل يمكن أن تكون أسرع قليلا؟","C’est une pièce en direct, pourriez-vous être un peu plus rapide ?"
SAY.Flowchart.422.Major Mycoplasma,,"We thought we were going to be able to cause pain during sex and during urination, and we were even expecting to cause some... Some…","Νομίζαμε ότι θα μπορούσαμε να προκαλέσουμε πόνο κατά τη διάρκεια του σεξ και κατά την ούρηση, και περιμέναμε ακόμη και να προκαλέσουμε....","كنا نظن أننا سنكون قادرين على التسبب في الألم أثناء ممارسة الجنس وأثناء التبول ، وكنا نتوقع حتى أن نتسبب في بعض ... بعض ...","Nous pensions que nous serions capables de provoquer des douleurs pendant les rapports sexuels et pendant la miction, et nous nous attendions même à provoquer quelques... quelques..."
MENU.Flowchart.389,,Bleeding after sex,Αιμορραγία μετά το σεξ,النزيف بعد الجماع,Des saignements après un rapport sexuel 
MENU.Flowchart.390,,Chest pain,Πόνο στο στήθος,ألم صدر,Des douleurs thoraciques
MENU.Flowchart.391,,Anal discharge,Πρωκτική έκκριση,إفرازات الشرج,Écoulement anal
MENU.Flowchart.392,,Conjunctivitis,Επιπεφυκίτιδα,التهاب الملتحمة,Conjonctivite
SAY.Flowchart.399.,,"That's not quite right, you're ruining the play. Give it another go.","Αυτό δεν είναι σωστό, καταστρέφεις την παράσταση το έργο. Κάνε άλλη μια προσπάθεια.","هذا ليس صحيحا تماما، أنت تفسد المسرحية. أعد مرة أخرى.","Ce n’est pas tout à fait juste, vous ruinez la pièce. Essayez encore."
SAY.Flowchart.407.,,"This is a live play, could you be a bit faster?","Αυτή είναι μία ζωντανή παράσταση, μπορείτε να είστε λίγο πιο γρήγοροι;","هذه مسرحية حية، هل يمكن أن تكون أسرع قليلا؟","C’est une pièce en direct, pourriez-vous être un peu plus rapide ?"
CHARACTER.Major Herpes,,Major Herpes,Ταγματάρχης Έρπης,الرائد هربس ,Herpes majeur
CHARACTER.Major Mycoplasma,,Major Mycoplasma,Ταγματάρχης Μυκόπλασμα,الرائد المفطورة ,Mycoplasme majeur
CHARACTER.Colonel Chlamydia,,Colonel Chlamydia,Συνταγματάρχης Χλαμύδιας,العقيد الكلاميديا,Colonel Chlamydia
CHARACTER.Admiral HIV,,Admiral HIV,Ναύαρχος HIV,الأدميرال فيروس نقص المناعة البشرية,Amiral VIH
CHARACTER.General Gonorrhea,,General Gonorrhea,Στρατηγός Γονόρροιας,الجنرال سيلان ,Gonorrhée générale
CHARACTER.Captain Crabs,,Captain Crabs,Σμηναγός Ψείρας,كابتن كرابس,Capitaine Crabes
CHARACTER.Sergeant Syphilis,,Sergeant Syphilis,Αρχιφύλακας Σύφιλη,الرقيب الزهري,Sergent Syphilis
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
